BEivOvr*;Overige reserves;jenv-bw2-i_ReservesOther;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivStr*;Statutaire reserves;jenv-bw2-i_StatutoryReserves;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivWer*;Andere wettelijke reserves;jenv-bw2-i_LegalReserves;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivWerKoe*;Reserve omrekeningsverschillen;jenv-bw2-i_ForeignCurrencyTranslationReserve;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivWerNba*;Negatieve bijschrijvingsreserve als gevolg van de omrekening van het aandelenkapitaal van een naamloze vennootschap naar de euro;jenv-bw2-i_LegalReserveNegativeTranslationShareCapitalIntoEuros;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivWerRed*;Wettelijke reserve deelnemingen;jenv-bw2-i_LegalReserveParticipatingInterests;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivWerRgk*;Wettelijke reserve voor geactiveerde kosten van ontwikkeling;jenv-bw2-i_LegalReserveDevelopment;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivWerRla*;Niet-uitkeerbare reserve als gevolg van de omrekening van het aandelenkapitaal van een naamloze vennootschap naar de euro;jenv-bw2-i_LegalReserveTranslationShareCapitalIntoEuros;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivWerRvg*;Wettelijke reserve voor kosten die verband houden met de oprichting en met de uitgifte van aandelen;jenv-bw2-i_LegalReserveCostsIncorporationShareIssue;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivWerRvi*;Reserve voor inbreng op aandelen anders dan in geld;jenv-bw2-i_LegalReserveContributionInKind;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivWerRvl*;Niet-uitkeerbare reserve voor verstrekte lening ter verkrijging door anderen van aandelen in het kapitaal van de vennootschap of van certificaten daarvan;jenv-bw2-i_LegalReserveLoansProvidedObtainTreasuryShares;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivWerRvo*;Wettelijke reserve omrekeningsverschillen voor omrekening van het geïnvesteerde vermogen en het resultaat van deelnemingen;jenv-bw2-i_ReserveTranslationDifferencesConversionInvestedAssetsResultParticipatingInterests;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BFva*;Financiële vaste activa;jenv-bw2-i_FinancialAssets;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BFva???Cuh;Som der herwaarderingen die betrekking hebben op de financiële vaste activa;jenv-bw2-i_FinancialAssetsAccumulatedRevaluations;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BIva*;Immateriële vaste activa;jenv-bw2-i_IntangibleAssets;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BIva???Cuh*;Som der herwaarderingen die betrekking hebben op de immateriële vaste activa;jenv-bw2-i_IntangibleAssetsAccumulatedRevaluations;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;jenv-bw2-dm:IntangibleAssetsMember;
BIvaKou*;Kosten die verband houden met de oprichting en met de uitgifte van aandelen;jenv-bw2-i_CostsIncorporationShareIssue;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BIvaKouCuh*;Som der herwaarderingen die betrekking hebben op de immateriële vaste activa;jenv-bw2-i_IntangibleAssetsAccumulatedRevaluations;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;jenv-bw2-dm:CostsIncorporationShareIssueMember;
BLas*;Langlopende schulden;jenv-bw2-i_LiabilitiesNoncurrent;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BLasOdv*;Oudedagsverplichting;rj-i_OldAgeObligation;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BLim*;Liquide middelen;jenv-bw2-i_CashAndCashEquivalents;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BMva*;Materiële vaste activa;jenv-bw2-i_PropertyPlantEquipment;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BMva???Cuh*;Som der herwaarderingen die betrekking hebben op de materiële vaste activa;jenv-bw2-i_PropertyPlantEquipmentAccumulatedRevaluations;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BPro*;Onderhanden projecten (activa);rj-i_ConstructionContractsAssets;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BSch*;Kortlopende schulden;jenv-bw2-i_LiabilitiesCurrent;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BVas*;Vastgoedbeleggingen;rj-i_InvestmentProperties;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BVor*;Vorderingen;jenv-bw2-i_Receivables;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BVorVao*;Opgevraagde stortingen van geplaatst kapitaal;jenv-bw2-i_CalledUpShareCapital;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BVrd*;Voorraden;jenv-bw2-i_Inventories;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BVrz*;Voorzieningen;jenv-bw2-i_Provisions;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
Beff*;Kortlopende effecten;jenv-bw2-i_SecuritiesCurrent;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
EUR;Rapporteringsvaluta van het document;nl-cd_DocumentPresentationCurrency;;;;
